,lanes,x_start_ft,x_end_ft,x_start_mile,x_end_mile,length_mi
36,2.9198770765619892,47244.09448818897,48556.43044619422,8.947745168217608,9.196293645112542,0.24854847689493376
37,2.0,48556.43044619422,49868.76640419947,9.196293645112542,9.444842122007476,0.24854847689493376
38,2.0,49868.76640419947,51181.10236220472,9.444842122007476,9.69339059890241,0.24854847689493376
39,2.0,51181.10236220472,52493.43832020997,9.69339059890241,9.941939075797343,0.24854847689493376
40,2.1176926179172404,52493.43832020997,53805.77427821522,9.941939075797343,10.190487552692277,0.24854847689493376
41,2.1654287888741153,53805.77427821522,55118.11023622047,10.190487552692277,10.43903602958721,0.24854847689493376
42,2.0,55118.11023622047,56430.44619422572,10.43903602958721,10.687584506482144,0.24854847689493376
43,2.0,56430.44619422572,57742.78215223097,10.687584506482144,10.936132983377076,0.24854847689493198
44,2.0,57742.78215223097,59055.11811023622,10.936132983377076,11.18468146027201,0.24854847689493376
45,2.0,59055.11811023622,60367.454068241466,11.18468146027201,11.433229937166944,0.24854847689493376
46,2.0,60367.454068241466,61679.790026246716,11.433229937166944,11.681778414061878,0.24854847689493376
47,2.0,61679.790026246716,62992.125984251965,11.681778414061878,11.930326890956811,0.24854847689493376
48,2.0,62992.125984251965,64304.461942257214,11.930326890956811,12.178875367851745,0.24854847689493376
49,2.0,64304.461942257214,65616.79790026246,12.178875367851745,12.427423844746679,0.24854847689493376
50,2.0,65616.79790026246,66929.13385826771,12.427423844746679,12.675972321641613,0.24854847689493376
51,2.4505826140182694,66929.13385826771,68241.46981627296,12.675972321641613,12.924520798536546,0.24854847689493376
52,2.0,68241.46981627296,69553.80577427821,12.924520798536546,13.17306927543148,0.24854847689493376
53,2.0,69553.80577427821,70866.14173228346,13.17306927543148,13.421617752326412,0.24854847689493198
54,2.0,70866.14173228346,72178.47769028871,13.421617752326412,13.670166229221346,0.24854847689493376
55,2.0,72178.47769028871,73490.81364829396,13.670166229221346,13.91871470611628,0.24854847689493376
56,2.0,73490.81364829396,74803.14960629921,13.91871470611628,14.167263183011213,0.24854847689493376
57,2.0,74803.14960629921,76115.48556430446,14.167263183011213,14.415811659906147,0.24854847689493376
58,2.0,76115.48556430446,77427.8215223097,14.415811659906147,14.664360136801081,0.24854847689493376
59,2.0,77427.8215223097,78740.15748031496,14.664360136801081,14.912908613696015,0.24854847689493376
60,2.0,78740.15748031496,80052.4934383202,14.912908613696015,15.161457090590948,0.24854847689493376
61,2.0,80052.4934383202,81364.82939632545,15.161457090590948,15.410005567485882,0.24854847689493376
62,2.0,81364.82939632545,82677.1653543307,15.410005567485882,15.658554044380816,0.24854847689493376
63,2.0,82677.1653543307,83989.50131233595,15.658554044380816,15.907102521275748,0.24854847689493198
64,2.0,83989.50131233595,85301.8372703412,15.907102521275748,16.15565099817068,0.24854847689493376
